counterparty_id,counterparty_name,aliases,country,counterparty_type,baseline_risk,synthetic_sanctions_flag
4,Fictional Zorvex Ember Trading,,SG,BUSINESS,MEDIUM,True
11,Fictional Zorvex Linden Trading,,SG,BUSINESS,LOW,True
12,Fictional Zorvex Marble Trading,,XZ,BUSINESS,MEDIUM,True
13,Fictional Zorvex Nimbus Trading,,QZ,BUSINESS,LOW,True
14,Fictional Zorvex Opal Trading,,GB,BUSINESS,LOW,True
15,Fictional Zorvex Pine Trading,,IN,BUSINESS,MEDIUM,True
23,Zorvex Delta Holdings,,DE,BUSINESS,LOW,True
25,Zorvex Flint Holdings,,XZ,BUSINESS,LOW,True
28,Zorvex Indigo Holdings,,IN,BUSINESS,MEDIUM,True
37,Zorvex Russet Holdings,,DE,BUSINESS,LOW,True
38,Zorvex Saffron Holdings,,SG,BUSINESS,MEDIUM,True
39,Zorvex Topaz Holdings,,XZ,BUSINESS,MEDIUM,True
48,Fictional Zorvex Indigo Trding,,IN,BUSINESS,MEDIUM,True
50,Fictional Zorvex Kestrel Trading Services,,DE,BUSINESS,MEDIUM,False
58,Fictional Zorvex Saffron Trading Services,,QZ,BUSINESS,MEDIUM,False
70,Synthetic Merchant 0070 Services,,XZ,BUSINESS,LOW,False
71,Synthetic Merchant 0071 Services,,QZ,BUSINESS,LOW,False
72,Synthetic Merchant 0072 Services,,DE,BUSINESS,LOW,False
73,Synthetic Merchant 0073 Services,,DE,BUSINESS,LOW,False
79,Synthetic Merchant 0079 Services,,SG,BUSINESS,MEDIUM,False
80,Synthetic Merchant 0080 Services,,US,BUSINESS,MEDIUM,False
85,Synthetic Merchant 0085 Services,,QZ,BUSINESS,LOW,False
86,Synthetic Merchant 0086 Services,,US,BUSINESS,MEDIUM,False
97,Synthetic Merchant 0097 Services,,DE,BUSINESS,MEDIUM,False
105,Synthetic Merchant 0105 Services,,GB,BUSINESS,LOW,False
121,Synthetic Merchant 0121 Services,,GB,BUSINESS,LOW,False
125,Synthetic Merchant 0125 Services,,SG,BUSINESS,LOW,False
132,Synthetic Merchant 0132 Services,,DE,BUSINESS,LOW,False
135,Synthetic Merchant 0135 Services,,QZ,BUSINESS,LOW,False
138,Synthetic Merchant 0138 Services,,QZ,BUSINESS,MEDIUM,False
140,Synthetic Merchant 0140 Services,,QZ,BUSINESS,LOW,False
147,Synthetic Merchant 0147 Services,,GB,BUSINESS,LOW,False
151,Synthetic Merchant 0151 Services,,QZ,BUSINESS,LOW,False
152,Synthetic Merchant 0152 Services,,SG,BUSINESS,LOW,False
153,Synthetic Merchant 0153 Services,,DE,BUSINESS,LOW,False
160,Synthetic Merchant 0160 Services,,DE,BUSINESS,LOW,False
175,Synthetic Merchant 0175 Services,,IN,BUSINESS,MEDIUM,False
181,Synthetic Merchant 0181 Services,,DE,BUSINESS,LOW,False
185,Synthetic Merchant 0185 Services,,US,BUSINESS,MEDIUM,False
187,Synthetic Merchant 0187 Services,,US,BUSINESS,LOW,False
190,Synthetic Merchant 0190 Services,,IN,BUSINESS,LOW,False
200,Synthetic Merchant 0200 Services,,XZ,BUSINESS,MEDIUM,False
204,Synthetic Merchant 0204 Services,,QZ,BUSINESS,LOW,False
206,Synthetic Merchant 0206 Services,,US,BUSINESS,LOW,False
208,Synthetic Merchant 0208 Services,,IN,BUSINESS,MEDIUM,False
211,Synthetic Merchant 0211 Services,,SG,BUSINESS,MEDIUM,False
213,Synthetic Merchant 0213 Services,,SG,BUSINESS,MEDIUM,False
219,Synthetic Merchant 0219 Services,,GB,BUSINESS,MEDIUM,False
