transaction_id,customer_id,counterparty_id,timestamp,amount,currency,origin_country,destination_country,payment_channel,payment_type,payment_category,device_id,originating_bank,network,beneficiary_bank,status,injected_pattern,screening_truth,investigation_label
SYN-TX-0000441,384,467,2026-01-01 09:09:37+00:00,1768.43,GBP,IN,GB,BRANCH,CARD,RETAIL,SYN-DEVICE-384,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0001475,1733,390,2026-01-02 01:00:00+00:00,365.16,GBP,US,IN,MOBILE,TRANSFER,SERVICES,SYN-DEVICE-1733,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0002563,390,213,2026-01-03 06:02:03+00:00,4200.47,GBP,GB,SG,API,TRANSFER,RETAIL,SYN-DEVICE-390,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0002710,720,245,2026-01-03 01:00:00+00:00,110.07,GBP,US,IN,BRANCH,TRANSFER,SERVICES,SYN-DEVICE-720,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,0
SYN-TX-0002900,1584,461,2026-01-03 13:26:09+00:00,16768.81,GBP,US,DE,API,WIRE,RETAIL,SYN-DEVICE-1584,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0003047,528,371,2026-01-03 16:53:23+00:00,1002.19,GBP,US,US,WEB,TRANSFER,SERVICES,SYN-DEVICE-528,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0003092,272,412,2026-01-03 18:13:24+00:00,1209.75,GBP,SG,GB,API,CARD,SERVICES,SYN-DEVICE-272,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,0
SYN-TX-0003676,1805,71,2026-01-04 07:43:53+00:00,448.65,GBP,GB,QZ,MOBILE,WIRE,SERVICES,SYN-DEVICE-1805,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,velocity,0,1
SYN-TX-0004630,1872,476,2026-01-05 04:29:17+00:00,1142.83,GBP,DE,XZ,WEB,CARD,REMITTANCE,SYN-DEVICE-1872,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,1
SYN-TX-0004747,1423,514,2026-01-05 06:59:21+00:00,9800.53,GBP,IN,XZ,BRANCH,TRANSFER,REMITTANCE,SYN-DEVICE-1423,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0005077,1510,253,2026-01-05 01:00:00+00:00,177.8,GBP,US,US,API,CARD,RETAIL,SYN-DEVICE-1510,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,night,0,1
SYN-TX-0005470,1906,219,2026-01-05 22:43:03+00:00,8999.88,GBP,US,GB,MOBILE,TRANSFER,REMITTANCE,SYN-DEVICE-1906,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,new_beneficiary,0,1
SYN-TX-0005499,534,190,2026-01-05 23:32:00+00:00,3169.54,GBP,GB,IN,BRANCH,CARD,SERVICES,SYN-DEVICE-534,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,PENDING,change,0,0
SYN-TX-0006755,1754,543,2026-01-07 02:39:51+00:00,9219.33,GBP,GB,IN,BRANCH,WIRE,REMITTANCE,SYN-DEVICE-1754,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,deviation,0,1
SYN-TX-0007421,1409,309,2026-01-07 15:47:15+00:00,223.96,GBP,DE,SG,WEB,TRANSFER,RETAIL,SYN-DEVICE-1409,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0008117,1253,392,2026-01-08 06:55:47+00:00,9890.62,GBP,US,DE,BRANCH,WIRE,REMITTANCE,SYN-DEVICE-1253,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0008167,1037,138,2026-01-08 08:03:18+00:00,9620.85,GBP,US,QZ,WEB,WIRE,REMITTANCE,SYN-DEVICE-1037,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,threshold,0,1
SYN-TX-0011913,1253,160,2026-01-11 16:50:56+00:00,208.88,GBP,US,XZ,WEB,CARD,SERVICES,SYN-DEVICE-1253,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,geography,0,1
SYN-TX-0012237,360,306,2026-01-11 23:22:24+00:00,1716.63,GBP,GB,DE,BRANCH,CARD,RETAIL,SYN-DEVICE-360,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
SYN-TX-0012262,176,138,2026-01-12 00:05:06+00:00,71.87,GBP,IN,QZ,WEB,WIRE,SERVICES,SYN-DEVICE-176,SYNTHETIC ORIGIN BANK,SIMULATED NETWORK,SYNTHETIC RECEIVING BANK,SETTLED,ordinary,0,0
