feature,importance
numeric__screening_score,0.4856671
numeric__new_counterparty_high_value,0.18298903
numeric__amount_ratio,0.13448876
numeric__velocity_1h,0.056706976
numeric__night,0.05213439
numeric__high_risk_geo,0.045715798
category__payment_channel_WEB,0.0059787207
category__payment_channel_API,0.004582602
category__payment_type_TRANSFER,0.004185579
category__kyc_status_COMPLETE,0.003921914
category__payment_type_WIRE,0.0035470657
category__payment_channel_MOBILE,0.0035037117
numeric__account_age_days,0.0034892461
category__payment_channel_BRANCH,0.0032714368
category__payment_type_CARD,0.003170719
numeric__pep_flag,0.0029503708
numeric__adjacent_prior_24h,0.0018771646
category__kyc_status_PENDING,0.0018193157
