model,threshold,validation_cost_5fn_plus_fp,precision,recall,f1,roc_auc,pr_auc_ap,tn,fp,fn,tp,false_positive_rate,false_negative_rate
LogisticRegression,0.1,16122,0.19256773676566336,1.0,0.3229464135729884,0.8666667954580123,0.698862358536785,33,16122,0,3845,0.9979572887650882,0.0
LogisticRegression,0.15000000000000002,15692,0.19705806451612903,0.9929778933680105,0.32885443583118,0.8666667954580123,0.698862358536785,598,15557,27,3818,0.9629835964097803,0.007022106631989597
LogisticRegression,0.20000000000000004,10854,0.2723210904960242,0.9352405721716515,0.4218181818181818,0.8666667954580123,0.698862358536785,6546,9609,249,3596,0.5948003714020427,0.06475942782834851
LogisticRegression,0.25000000000000006,9121,0.3314738696418086,0.8808842652795839,0.48168953992746927,0.8666667954580123,0.698862358536785,9324,6831,458,3387,0.4228412256267409,0.11911573472041613
LogisticRegression,0.30000000000000004,7883,0.41999463950683463,0.8150845253576073,0.5543468647740338,0.8666667954580123,0.698862358536785,11827,4328,711,3134,0.2679046734757041,0.18491547464239272
LogisticRegression,0.3500000000000001,7368,0.47684821849003295,0.7901170351105331,0.5947533281127643,0.8666667954580123,0.698862358536785,12822,3333,807,3038,0.206313834726091,0.20988296488946684
LogisticRegression,0.40000000000000013,7136,0.5380645161290323,0.7591677503250975,0.6297734627831715,0.8666667954580123,0.698862358536785,13649,2506,926,2919,0.15512225317239245,0.24083224967490247
LogisticRegression,0.45000000000000007,7020,0.5964504542573421,0.7342002600780234,0.6581953835392865,0.8666667954580123,0.698862358536785,14245,1910,1022,2823,0.11822965026307644,0.2657997399219766
LogisticRegression,0.5000000000000001,6964,0.6393708073097386,0.7188556566970091,0.6767874632713027,0.8666667954580123,0.698862358536785,14596,1559,1081,2764,0.0965026307644692,0.2811443433029909
LogisticRegression,0.5500000000000002,7015,0.685270132517839,0.6993498049414825,0.6922383833183163,0.8666667954580123,0.698862358536785,14920,1235,1156,2689,0.07644692045806252,0.30065019505851753
LogisticRegression,0.6000000000000002,7216,0.7166804067051388,0.6782834850455136,0.6969535008017104,0.8666667954580123,0.698862358536785,15124,1031,1237,2608,0.06381925100588053,0.32171651495448633
LogisticRegression,0.6500000000000001,7482,0.740111338997949,0.6569570871261379,0.6960595205290714,0.8666667954580123,0.698862358536785,15268,887,1319,2526,0.054905601980810896,0.3430429128738622
LogisticRegression,0.7000000000000002,7798,0.7583100341721032,0.6348504551365409,0.6911098527746319,0.8666667954580123,0.698862358536785,15377,778,1404,2441,0.0481584648715568,0.365149544863459
LogisticRegression,0.7500000000000002,8201,0.7663185378590078,0.6106631989596879,0.6796931538572876,0.8666667954580123,0.698862358536785,15439,716,1497,2348,0.0443206437635407,0.3893368010403121
LogisticRegression,0.8000000000000002,8616,0.7859894921190893,0.5836150845253576,0.6698507462686567,0.8666667954580123,0.698862358536785,15544,611,1601,2244,0.03782110801609409,0.4163849154746424
LogisticRegression,0.8500000000000002,8976,0.812476370510397,0.5589076723016905,0.6622496147919876,0.8666667954580123,0.698862358536785,15659,496,1696,2149,0.030702568864128754,0.44109232769830947
LogisticRegression,0.9000000000000002,9389,0.8468879668049792,0.5308192457737321,0.6525979216626698,0.8666667954580123,0.698862358536785,15786,369,1804,2041,0.022841225626740947,0.46918075422626787
RandomForest,0.1,16155,0.19225,1.0,0.3224994757810862,0.8768325861422925,0.7387607482659877,0,16155,0,3845,1.0,0.0
RandomForest,0.15000000000000002,16134,0.19245207467841233,1.0,0.3227837474815312,0.8768325861422925,0.7387607482659877,21,16134,0,3845,0.9987000928505106,0.0
RandomForest,0.20000000000000004,10078,0.2912478548663888,0.9269180754226268,0.4432284541723666,0.8768325861422925,0.7387607482659877,7482,8673,281,3564,0.53686165273909,0.07308192457737321
RandomForest,0.25000000000000006,9641,0.3055652173913043,0.9139141742522757,0.45799934832192896,0.8768325861422925,0.7387607482659877,8169,7986,331,3514,0.4943361188486537,0.08608582574772432
RandomForest,0.30000000000000004,8117,0.3844705882352941,0.8499349804941483,0.5294451194815715,0.8768325861422925,0.7387607482659877,10923,5232,577,3268,0.32386258124419687,0.15006501950585174
RandomForest,0.3500000000000001,6945,0.5090331214452994,0.7914174252275683,0.6195663239336252,0.8768325861422925,0.7387607482659877,13220,2935,802,3043,0.18167749922624574,0.20858257477243172
RandomForest,0.40000000000000013,6639,0.6181661644425313,0.7469440832249675,0.6764809798610293,0.8768325861422925,0.7387607482659877,14381,1774,973,2872,0.10981120396162179,0.25305591677503253
RandomForest,0.45000000000000007,6652,0.6986544808326987,0.7157347204161248,0.7070914696813977,0.8768325861422925,0.7387607482659877,14968,1187,1093,2752,0.07347570411637264,0.28426527958387515
RandomForest,0.5000000000000001,6755,0.7376373626373627,0.6983094928478544,0.717434869739479,0.8768325861422925,0.7387607482659877,15200,955,1160,2685,0.05911482513153822,0.3016905071521456
RandomForest,0.5500000000000002,6812,0.7599655864640091,0.6892067620286085,0.7228587015821059,0.8768325861422925,0.7387607482659877,15318,837,1195,2650,0.05181058495821727,0.3107932379713914
RandomForest,0.6000000000000002,6801,0.7749706227967098,0.6860858257477244,0.7278245275210374,0.8768325861422925,0.7387607482659877,15389,766,1207,2638,0.04741566078613432,0.3139141742522757
RandomForest,0.6500000000000001,6848,0.7826216781128695,0.6816644993498049,0.7286627745343341,0.8768325861422925,0.7387607482659877,15427,728,1224,2621,0.04506344784896317,0.31833550065019506
RandomForest,0.7000000000000002,6943,0.8031716417910447,0.6717815344603381,0.7316244158051267,0.8768325861422925,0.7387607482659877,15522,633,1262,2583,0.03918291550603528,0.3282184655396619
RandomForest,0.7500000000000002,7126,0.8198898607061872,0.658257477243173,0.7302365839584536,0.8768325861422925,0.7387607482659877,15599,556,1314,2531,0.034416589291241105,0.34174252275682704
RandomForest,0.8000000000000002,7388,0.8306967351060249,0.6418725617685306,0.7241784037558685,0.8768325861422925,0.7387607482659877,15652,503,1377,2468,0.03113587124729186,0.3581274382314694
RandomForest,0.8500000000000002,7942,0.8399570354457573,0.6101430429128739,0.7068394094606809,0.8768325861422925,0.7387607482659877,15708,447,1499,2346,0.027669452181987002,0.38985695708712614
RandomForest,0.9000000000000002,10354,0.8737446197991392,0.4751625487646294,0.6155660377358491,0.8768325861422925,0.7387607482659877,15891,264,2018,1827,0.016341689879294335,0.5248374512353706
XGBoost,0.1,16154,0.19225961298064903,1.0,0.3225130011742996,0.8842669780197445,0.7562430227399354,1,16154,0,3845,0.9999380996595482,0.0
XGBoost,0.15000000000000002,12698,0.23620788851243368,0.9609882964889467,0.37920771756978655,0.8842669780197445,0.7562430227399354,4207,11948,150,3695,0.7395852677189725,0.03901170351105332
XGBoost,0.20000000000000004,9863,0.29723849372384936,0.9237971391417426,0.44976258309591644,0.8842669780197445,0.7562430227399354,7757,8398,293,3552,0.5198390591148251,0.07620286085825748
